Bin Center                Probability Density     
-954.41128000000003       1.594217287043118e-06   
-912.50983999999994       1.4844358570970351e-06  
-870.60840000000007       3.2361656305845333e-06  
-828.70695999999998       9.9185135403461057e-06  
-786.80551999999989       1.1145201692352338e-05  
-744.90408000000002       2.2624520780192755e-05  
-703.00263999999993       3.1817522261764743e-05  
-661.10119999999995       4.1091666539383844e-05  
-619.19975999999997       7.0031006094301287e-05  
-577.29831999999988       0.00011474068671625603  
-535.39688000000001       0.00015956492187380671  
-493.49543999999997       0.00021841254143055701  
-451.59399999999999       0.00030004219425394446  
-409.69255999999996       0.0004085348856745734   
-367.79111999999992       0.00051843564326190211  
-325.88967999999994       0.00066749495960043365  
-283.98823999999996       0.00083673496662644523  
-242.08679999999998       0.00098448167891127349  
-200.18535999999995       0.001171267622306059    
-158.28391999999991       0.0013027284981136685   
-116.38247999999993       0.0014337168364619449   
-74.48103999999995        0.0015514168486810951   
-32.579599999999971       0.0016005321058178428   
9.3218400000000088        0.0016173477570221929   
51.223280000000045        0.0016236959875364663   
93.124720000000025        0.0015072465289975713   
135.02616                 0.0014085148386308441   
176.9276000000001         0.0012033906233294128   
218.82904000000008        0.0010911414977623679   
260.73048000000006        0.00091694700707183323  
302.63192000000004        0.00074959237677750448  
344.53336000000002        0.00060681446747414881  
386.43480000000011        0.000501510210627606    
428.33624000000009        0.00036802076491881898  
470.23768000000007        0.00026115570252478195  
512.13912000000005        0.00019491454231644541  
554.04056000000003        0.00011744703761970947  
595.94200000000012        7.6369690397275116e-05  
637.8434400000001         6.0938239831375718e-05  
679.74488000000008        3.8896037940462182e-05  
721.64632000000006        2.0944387591452702e-05  
763.54776000000004        1.9421766889157029e-05  
805.44920000000013        1.1207252065800124e-05  
847.35064000000011        3.9998625345572844e-06  
889.25208000000009        2.4438300927128037e-06  
931.15352000000007        4.9162988193245861e-07  
973.05496000000005        6.4914236837683851e-07  
1014.9564                 1.1025874051106595e-06  
1056.8578399999999        1.7183180339386902e-07  
1098.75928                1.0500832429625329e-07  
